student ID,gender,race/ethnicity,parental level of education,lunch
893,female,group A,master's degree,free/reduced
894,male,group D,some high school,standard
895,female,group E,associate's degree,standard
896,female,group E,some high school,free/reduced
897,male,group B,high school,free/reduced
898,female,group B,some high school,free/reduced
899,male,group D,associate's degree,standard
900,female,group D,some high school,standard
901,male,group D,master's degree,standard
902,female,group C,master's degree,standard
903,female,group A,high school,free/reduced
904,female,group D,bachelor's degree,free/reduced
905,female,group D,some high school,free/reduced
906,male,group D,some college,standard
907,male,group B,high school,standard
908,female,group D,some college,standard
909,female,group C,bachelor's degree,free/reduced
910,male,group E,bachelor's degree,standard
911,male,group D,bachelor's degree,free/reduced
912,female,group A,some college,standard
913,female,group C,bachelor's degree,standard
914,female,group C,bachelor's degree,free/reduced
915,female,group B,associate's degree,free/reduced
916,female,group E,some college,standard
917,male,group E,bachelor's degree,standard
918,female,group C,high school,standard
919,female,group C,associate's degree,standard
920,male,group B,some college,standard
921,male,group D,high school,free/reduced
922,female,group C,high school,free/reduced
923,male,group D,high school,standard
924,female,group B,associate's degree,free/reduced
925,male,group D,high school,free/reduced
926,male,group E,some high school,standard
927,male,group E,associate's degree,free/reduced
928,female,group D,high school,free/reduced
929,male,group E,associate's degree,free/reduced
930,female,group C,some high school,free/reduced
931,male,group C,some college,free/reduced
932,male,group D,some college,free/reduced
933,male,group D,associate's degree,free/reduced
934,male,group C,bachelor's degree,free/reduced
935,male,group C,associate's degree,standard
936,male,group D,some college,free/reduced
937,male,group A,associate's degree,standard
938,female,group E,high school,free/reduced
939,male,group D,some college,standard
940,male,group D,some high school,standard
941,male,group C,master's degree,free/reduced
942,female,group D,master's degree,standard
943,male,group C,high school,standard
944,male,group A,some high school,free/reduced
945,female,group B,high school,standard
946,female,group C,associate's degree,standard
947,male,group B,high school,standard
948,female,group D,some college,free/reduced
949,male,group B,some high school,free/reduced
950,female,group E,high school,free/reduced
951,male,group E,high school,standard
952,female,group D,some college,standard
953,female,group E,some high school,free/reduced
954,male,group C,high school,standard
955,female,group C,some college,standard
956,male,group E,associate's degree,standard
957,male,group C,some college,standard
958,female,group D,master's degree,standard
959,female,group D,high school,standard
960,male,group C,high school,standard
961,female,group A,some college,standard
962,female,group D,some high school,free/reduced
963,female,group E,associate's degree,standard
964,female,group C,some high school,free/reduced
965,male,group D,some college,standard
966,female,group D,some college,standard
967,male,group A,some high school,standard
968,male,group C,some college,standard
969,female,group E,associate's degree,standard
970,female,group B,bachelor's degree,standard
971,female,group D,bachelor's degree,standard
972,male,group C,some high school,standard
973,female,group A,high school,free/reduced
974,female,group D,some college,free/reduced
975,female,group A,some college,standard
976,female,group C,some college,standard
977,male,group B,some college,free/reduced
978,male,group C,associate's degree,standard
979,male,group D,high school,standard
980,female,group C,associate's degree,standard
981,female,group B,high school,free/reduced
982,male,group D,some high school,standard
983,male,group B,some high school,standard
984,female,group A,some college,standard
985,female,group C,some high school,standard
986,male,group A,high school,standard
987,female,group C,associate's degree,standard
988,male,group E,some high school,standard
989,female,group A,some high school,free/reduced
990,female,group D,some college,free/reduced
991,male,group E,high school,free/reduced
992,female,group B,some high school,standard
993,female,group D,associate's degree,free/reduced
994,female,group D,bachelor's degree,free/reduced
995,male,group A,high school,standard
996,female,group E,master's degree,standard
997,male,group C,high school,free/reduced
998,female,group C,high school,free/reduced
999,female,group D,some college,standard
1000,female,group D,some college,free/reduced
